UID          PID    PPID  C STIME TTY          TIME CMD
alexisp+    1486    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-a11y-settings
alexisp+    1489    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-color
alexisp+    1490    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-datetime
alexisp+    1491    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-housekeeping
alexisp+    1492    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-keyboard
alexisp+    1499    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-media-keys
alexisp+    1500    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-power
alexisp+    1501    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-print-notifications
alexisp+    1502    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-rfkill
alexisp+    1503    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
alexisp+    1507    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-sharing
alexisp+    1508    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-smartcard
alexisp+    1511    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-sound
alexisp+    1515    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-usb-protection
alexisp+    1518    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-wacom
alexisp+    1525    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-wwan
alexisp+    1526    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-xsettings
alexisp+    1558    1349  0 01:28 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
alexisp+    1559    1349  0 01:28 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
alexisp+    1560    1391  0 01:28 ?        00:00:00 /usr/libexec/ibus-engine-simple
alexisp+    1579    1126  0 01:28 ?        00:00:00 /usr/libexec/gsd-printer
alexisp+    1667    1126  0 01:28 ?        00:00:00 /usr/libexec/gnome-terminal-server
alexisp+    1676    1667  0 01:28 pts/0    00:00:00 bash
alexisp+    1701    1349  0 01:29 ?        00:00:00 update-notifier
alexisp+    2045    1349  0 01:30 ?        00:00:00 /usr/libexec/deja-dup/deja-dup-monitor
alexisp+    2280    1676  0 01:30 pts/0    00:00:00 ps -ef
